# ----------------------------------------
# <REDACTED>
# Browser & OS
# 20130610-20140610
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
5/9/14,"76,058"
5/10/14,"55,024"
5/11/14,"64,392"
5/12/14,"101,831"
5/13/14,"100,340"
5/14/14,"94,392"
5/15/14,"86,146"
5/16/14,"69,671"
5/17/14,"45,030"
5/18/14,"52,644"
5/19/14,"96,437"
5/20/14,"100,607"
5/21/14,"95,186"
5/22/14,"90,956"
5/23/14,"76,459"
5/24/14,"53,441"
5/25/14,"51,496"
5/26/14,"72,503"
5/27/14,"101,012"
5/28/14,"98,932"
5/29/14,"89,572"
5/30/14,"72,533"
5/31/14,"46,189"
6/1/14,"54,742"
6/2/14,"102,263"
6/3/14,"102,105"
6/4/14,"102,172"
6/5/14,"92,338"
6/6/14,"70,994"
6/7/14,"48,781"
6/8/14,"53,849"
6/9/14,"100,110"
6/10/14,"97,825"
,"28,840,882"

